file_name,author_country,publication_year,abstract_info,ngram_info,error
10.1371_journal.pone.0065217.json,CN,2013,True,True,
10.1016_j.biopha.2017.09.120.json,CN,2017,True,True,
10.1002_ptr.6533.json,CN,2019,True,True,
10.1002_jcb.29429.json,CN,2019,True,True,
10.1155_2014_486407.json,TW,2014,True,True,
10.12659_MSM.914242.json,CN,2019,True,True,
10.1186_1479-5876-6-27.json,IT,2008,True,True,
10.1074_jbc.M500417200.json,US,2005,True,True,
10.1371_journal.pone.0059378.json,CN,2013,True,True,
10.1073_pnas.96.10.5873.json,BE,1999,True,True,
10.1093_carcin_bgl229.json,US,2006,True,True,
10.1006_excr.1998.4073.json,IT,1998,True,False,
10.1165_rcmb.2009-0284OC.json,US,2011,True,True,
10.2147_OTT.S225360.json,CN,2019,True,False,
10.1016_j.tiv.2010.01.009.json,BE,2010,True,True,
10.1186_1472-6882-14-82.json,CN,2014,True,True,
10.1016_j.biopha.2022.113619.json,SA,2022,True,True,
10.1002_bab.1504.json,CN,2017,True,True,
10.1007_s11060-007-9387-2.json,CN,2007,False,True,
10.1007_s00262-016-1942-2.json,CN,2016,False,True,
10.3109_10428194.2013.776681.json,CN,2013,True,True,
10.1038_srep04694.json,CN,2014,True,True,
10.3892_ijmm.2018.3853.json,CN,2018,True,True,
10.1007_s10571-010-9592-y.json,US,2010,True,True,
10.1016_S0008-6363(02)00266-3.json,JP,2002,True,True,
10.1155_2021_1615201.json,CN,2021,True,True,
10.1016_j.ebiom.2019.09.012.json,CN,2019,True,True,
10.1128_MCB.00114-14.json,US,2014,True,True,
10.1186_s12935-019-1007-7.json,CN,2019,True,True,
10.2147_OTT.S167900.json,CN,2018,True,False,
10.1016_j.ygyno.2008.08.004.json,JP,2008,True,False,
10.1038_srep03852.json,JP,2014,True,True,
10.1016_j.biopha.2016.01.045.json,CN,2016,True,True,
10.12659_MSM.913138.json,CN,2019,True,True,
10.1165_rcmb.4851.json,US,2002,True,True,
10.1159_000481668.json,CN,2017,True,True,
10.1002_adma.202006363.json,CN,2020,True,True,
10.2307_3578497.json,N/A,1993,True,True,
10.1042_BSR20191453.json,CN,2019,True,True,
10.1042_BSR20171607.json,CN,2018,True,True,
10.1111_j.1471-4159.2011.07639.x.json,NZ,2012,True,True,
10.1152_ajpcell.00324.2008.json,US,2009,True,True,
10.1186_s12943-018-0899-5.json,CN,2018,True,True,
10.1016_j.yexcr.2014.05.006.json,JP,2014,True,True,
10.3892_or.2017.5995.json,CN,2017,True,True,
10.1097_01.shk.0000189595.35661.40.json,DE,2006,True,True,
10.1007_s00253-005-0255-8.json,IN,2006,False,False,
10.1177_0300060519883731.json,CN,2019,True,True,
10.26355_eurrev_201903_17379.json,N/A,2019,True,False,
10.1016_S0925-4773(02)00341-6.json,ES,2002,True,False,
10.1177_1533033819892251.json,CN,2020,True,True,
10.1073_pnas.2637011100.json,US,2004,True,True,
10.1074_jbc.M108128200.json,US,2002,True,False,
10.1007_s00134-007-0595-1.json,IT,2007,False,True,
10.26355_eurrev_202011_23586.json,N/A,2020,True,False,
10.1016_j.lungcan.2008.05.026.json,TW,2008,False,False,
10.1016_j.yexmp.2021.104658.json,CN,2021,False,False,
10.2147_OTT.S284212.json,CN,2021,True,True,
10.1083_jcb.200702053.json,GB,2007,True,True,
10.1042_BSR20191845.json,CN,2020,True,True,
10.1016_j.bbrc.2006.06.142.json,US,2006,True,True,
10.1182_blood-2005-04-1407.json,SE,2005,True,True,
10.1371_journal.pone.0094828.json,US,2014,True,True,
10.1371_journal.pone.0107533.json,FR,2014,True,False,
10.2147_CMAR.S245283.json,CN,2020,True,True,
10.1161_01.CIR.0000031332.45480.79.json,BR,2002,True,True,
10.1007_s13277-015-4527-3.json,CN,2015,True,True,
10.3389_fimmu.2021.699746.json,IR,2021,True,True,
10.1016_j.brainresbull.2020.02.014.json,CN,2020,True,True,
10.1164_rccm.200807-1186OC.json,US,2009,True,False,
10.1210_jc.2002-021325.json,US,2003,True,True,
10.1038_sj.bjc.6602837.json,US,2005,True,True,
10.1016_j.jacc.2011.12.043.json,NL,2012,True,False,
10.1039_C8RA00993G.json,CN,2018,True,True,
10.26355_eurrev_201904_17688.json,N/A,2019,True,False,
10.1002_mgg3.757.json,CN,2019,True,True,
10.1104_pp.16.00597.json,CN,2016,True,False,
10.1155_2022_2550686.json,CN,2022,True,True,
10.1182_blood-2009-06-226621.json,N/A,2009,True,True,
10.1161_ATVBAHA.113.301869.json,US,2013,True,True,
10.1210_jc.2012-3623.json,IT,2013,True,True,
10.1074_jbc.M401878200.json,US,2004,True,False,
10.1042_BSR20192414.json,CN,2019,True,True,
10.1002_jcp.28071.json,CN,2019,True,True,
10.12659_MSM.913180.json,CN,2019,True,True,
10.4236_ajps.2014.520324.json,IN,2014,True,True,
10.1186_s13046-018-0910-4.json,CN,2018,True,True,
10.1126_scitranslmed.3007762.json,US,2013,True,True,
10.1159_000358644.json,CN,2014,True,True,
10.1016_j.yexmp.2019.104327.json,CN,2020,True,True,
10.1089_cbr.2014.1698.json,CN,2014,True,True,
